"","id","mean_weight","mean_bmi","mean_sed_mins","mean_active_mins","mean_sleep_time","mean_bed_time","mean_steps","mean_dist","mean_calories"
"1","1503960366",52.59999847,22.65,848,278,NA,NA,12117,7.81,1816
"2","1927972279",133.5,47.54,1317,41,NA,NA,916,0.63,2173
"3","2873212765",57,21.57,1097,328,NA,NA,7556,5.1,1917
"4","4319703577",72.35000229,27.415,736,245,NA,NA,7269,4.89,2038
"5","4558609924",69.63999939,27.214,1094,309,NA,NA,7685,5.08,2033
"6","5577150313",90.69999695,28,754,265,NA,NA,8304,6.21,3360
"7","6962181067",61.553333791,24.028,662,287,448,466,9795,6.59,1982
"8","8877689391",85.1458342879167,25.4870833333333,1113,311,NA,NA,16040,13.21,3420
